zipCode,prem2018,prem2022,premChange,premPctChange,lossRatio,claimFreq,claimSev,nonRenew,nonPay
28216,1257.68,1392.35,134.68,10.71,0.52,0.08,9433,0.04,0
28031,1784.21,1976.74,192.53,10.79,0.48,0.06,17315,0.02,0
28401,859.2,990.58,131.37,15.29,0.83,0.05,23084,0.02,0
28504,1629.12,1767.08,137.96,8.47,0.36,0.07,9678,0.02,0
28609,1133.64,1272.99,139.35,12.29,0.55,0.05,14641,0.02,0
27549,1330.73,1429.25,98.53,7.4,0.52,0.05,14943,0.02,0
27292,1049.91,1147.8,97.89,9.32,0.4,0.04,11443,0.01,0
27801,1238.16,1382.7,144.54,11.67,0.44,0.07,9210,0.02,0
28110,1165.69,1250.76,85.07,7.3,0.58,0.06,12328,0.03,0
27011,1044.15,1001.95,-42.2,-4.04,0.37,0.05,8566,0.01,0
27607,1611.41,1899.69,288.28,17.89,0.32,0.04,13978,0.01,0
27713,1316.93,1456.23,139.3,10.58,0.48,0.06,11634,0.02,0
27518,1815.21,2045.54,230.34,12.69,0.64,0.08,16568,0.01,0
28071,1221.8,1299.89,78.09,6.39,0.48,0.05,13171,0.02,0
28202,1564.1,1685.07,120.96,7.73,0.55,0.07,16611,0.02,0
27883,1261.95,1380.69,118.74,9.41,0.8,0.07,15288,0.02,0
28540,965.32,1001.81,36.49,3.78,0.66,0.1,13101,0.01,0
27569,1316.34,1381.95,65.61,4.98,0.47,0.06,13509,0.02,0
27260,890.35,993.71,103.37,11.61,0.63,0.07,10089,0.03,0
28578,1488.88,1536.19,47.31,3.18,0.38,0.08,8168,0.01,0
28590,1552.84,1661.89,109.05,7.02,0.33,0.05,11047,0.01,0
28305,2027.65,2134.23,106.58,5.26,0.29,0.07,10701,0.03,0
28314,1649.72,1839.98,190.26,11.53,0.66,0.14,10915,0.03,0
27812,1662.85,1634.11,-28.74,-1.73,0.21,0.04,8887,0.01,0
28344,1633.94,1738.96,105.03,6.43,0.39,0.08,7668,0.02,0
28759,1257.61,1373.01,115.4,9.18,0.42,0.04,14049,0.01,0
27021,977.51,1054.64,77.13,7.89,0.47,0.06,9587,0.01,0
28356,1692.53,1836.82,144.29,8.52,0.55,0.12,11607,0.03,0
28269,1343.91,1456.65,112.74,8.39,0.57,0.08,11657,0.04,0
27406,1101.47,1218.97,117.5,10.67,0.59,0.07,10508,0.03,0
28658,979.07,1064.83,85.76,8.76,0.59,0.06,11706,0.02,0
28405,995.41,1175.01,179.6,18.04,0.53,0.05,19335,0.01,0
27541,1323.91,1245.13,-78.79,-5.95,0.85,0.04,28770,0.01,0
27016,1166.9,1058.21,-108.69,-9.31,0.32,0.04,9529,0.01,0
27030,972.86,1045.07,72.21,7.42,0.41,0.05,10180,0.02,0
28341,1618.73,1663.4,44.67,2.76,0.51,0.08,18611,0.02,0
27370,1058.64,1115.2,56.57,5.34,0.6,0.06,13546,0.02,0
28112,1193.98,1295.91,101.93,8.54,0.49,0.05,12433,0.02,0
28127,1429.02,1521.9,92.88,6.5,0.5,0.04,19137,0.01,0
28671,850.95,883.87,32.91,3.87,0.66,0.06,8514,0.03,0
28034,1007.09,1107.46,100.37,9.97,0.55,0.05,13615,0.03,0
27282,1191.66,1290.75,99.1,8.32,0.52,0.07,10900,0.02,0
28428,885.62,998.93,113.32,12.8,0.36,0.02,12936,0.01,0
27313,1144,1249.07,105.07,9.18,0.78,0.08,12653,0.02,0
27577,1258.63,1356.58,97.95,7.78,0.59,0.07,12913,0.02,0
28366,1436.31,1467.58,31.27,2.18,0.5,0.08,12487,0.01,0
27326,1144.35,1149.01,4.67,0.41,1.05,0.1,12162,0.01,0
28144,1270.64,1393.46,122.82,9.67,0.58,0.06,13660,0.02,0
28137,1330.51,1218.78,-111.73,-8.4,0.27,0.04,10648,0.01,0
27608,1942.67,2334.59,391.92,20.17,0.38,0.04,21948,0.01,0
27027,911.89,963.28,51.39,5.64,0.41,0.04,10796,0.01,0
28088,1098.25,1168.99,70.73,6.44,0.42,0.05,10642,0.03,0
28170,1268.74,1326.18,57.44,4.53,0.88,0.07,18169,0.01,0
28692,1374.07,1503.35,129.28,9.41,0.28,0.02,19533,0.01,0
28782,1359.21,1504.9,145.7,10.72,0.49,0.07,11800,0.01,0
28091,1254.61,1375.82,121.21,9.66,0.66,0.07,12475,0.01,0
28573,1292.15,1310.57,18.42,1.43,0.42,0.06,12663,0.03,0
27810,1378.03,1366.88,-11.15,-0.81,0.13,0.03,7733,0.02,0
27804,1327.97,1447.09,119.12,8.97,0.58,0.07,13769,0.02,0
28650,956.72,1042.74,86.02,8.99,0.44,0.05,10407,0.01,0
27028,1086.1,1160.34,74.23,6.83,0.4,0.04,11878,0.01,0
28508,1566.41,1600.06,33.65,2.15,0.62,0.09,16798,0.02,0
28090,1101.46,1141.79,40.33,3.66,0.49,0.05,13450,0.01,0
28638,859.61,933.27,73.66,8.57,0.47,0.05,10016,0.02,0
27350,986.03,1055.08,69.05,7,0.44,0.05,10005,0.01,0
28469,1036.08,1307.44,271.36,26.19,0.51,0.02,35242,0.01,0
28409,942.53,1063.67,121.14,12.85,0.44,0.04,15146,0.01,0
27455,1285.89,1424.91,139.02,10.81,0.61,0.07,12738,0.02,0
27248,965.64,1072.58,106.94,11.07,0.43,0.05,10642,0.02,0
27341,1026.54,1102.48,75.94,7.4,0.5,0.04,15513,0.01,0
27325,1001.41,1076.07,74.66,7.46,0.41,0.04,12209,0.01,0
28023,1112.95,1194.46,81.52,7.32,0.57,0.05,14009,0.02,0
